   
Part             Value                                 Device                                Package                  Description                                                                     AVAILABILITY DESCRIPTION                                                                         DIGI-KEY_PART_NUMBER DIGI-KEY_PURCHASE_URL                                                                                                                                                            MF                MP               PACKAGE                  PRICE         PROD_ID   SPICEPREFIX VALUE
868MHZ_ANTENNA   SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1         Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                Unavailable   Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                                                                                                                                                                                                                         Samtec            SMA-J-P-H-ST-EM1 None                     None                                     
GPS1             MODULE-GPS-SMD-MAX-7Q-0(18P-9.6X10MM) MODULE-GPS-SMD-MAX-7Q-0(18P-9.6X10MM) GPS18P-SMD-1.1-10X9.6MM  317050009                                                                       Unavailable   SMD GPS Module                                                                                                                                                                                                                                                                                             u-blox           MAX-7Q-0                 SMD-18 u-blox None                       
GPS_ANTENNA      SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1                      SMA-J-P-H-ST-EM1         Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                Unavailable   Connector SMA F 50Ohm Solder ST Edge Mount Gold Over Nickel Tray                                                                                                                                                                                                                         Samtec            SMA-J-P-H-ST-EM1 None                     None                                     
L1               4.2uH                                 L-USL4532P                            L4532P                   INDUCTOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  L                
L2               4.2uH                                 L-USL4532P                            L4532P                   INDUCTOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  L                
L3               8.2uH                                 L-USL4532P                            L4532P                   INDUCTOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  L                
L4               8.2uH                                 L-USL4532P                            L4532P                   INDUCTOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  L                
L5               10uH                                  L-USL4532P                            L4532P                   INDUCTOR, American symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  L                
POWER_USB        47346-0001                            47346-0001                            MOLEX_47346-0001         CONN RCPT 5POS MICRO USB R/A  SMD                                               Unavailable   Micro-USB B Receptacle with Flange, Bottom Mount, SMT, Lead-Free                                                                                                                                                                                                                         Molex             47346-0001       None                     None                                     
Q1                                                     N-MOSFET-SO8S                         SO-08                    N-Channel MOSFET                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
R1               10kR                                  R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R2               10R                                   R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R3               100kR                                 R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R4               1kR                                   R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R5               18.2kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R6               53.6kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R7               31.6kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R8               31.6kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R9               10.2kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R10              21.5kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R11              10.2kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R12              12.7kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
R13              10.2kR                                R-EU_R0603                            R0603                    RESISTOR, European symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                  R                
RN2483           RN2483-I/RM095                        RN2483-I/RM095                        MICROCHIP_RN2483-I/RM095 Sub-GHz Dual Band Long Range Transceiver LoRa Module                            Unavailable   Sub-GHz Dual Band Long Range Transceiver LoRa Module                                                                                                                                                                                                                                     Microchip         RN2483-I/RM095   None                     None                                     
SD_CARD          DM3AT-SF-PEJM5                        DM3AT-SF-PEJM5                        HRS_DM3AT-SF-PEJM5       DM3 Series 8 Position Right Angle SMT Push Push Ejection MicroSD Card Connector Unavailable   DM3 RA SMT microSD memory card push/push                                                                                                                                                                                                                                                 Hirose            DM3AT-SF-PEJM5   None                     None                                     
SWITCH_CONVERTER LT3504IUFDPBF                         LT3504IUFDPBF                         QFN-28_UFD                                                                                                             LT3504 - Quad 40V/1A Step-Down Switching Regulator with 100% Duty Cycle Operation  LT3504IUFD#PBF-ND    https://www.digikey.com/product-detail/en/linear-technology-analog-devices/LT3504IUFD-PBF/LT3504IUFD-PBF-ND/3481904?utm_source=snapeda&utm_medium=aggregator&utm_campaign=symbol Linear Technology LT3504IUFD#PBF   QFN-28 Linear Technology                                          
USB_TO_UART      FT232RL-REEL                          FT232RL-REEL                          SOP65P780X200-28N        USB to serial UART interface                                                    Unavailable   USB Full Speed to Serial UART IC, Includes Oscillator and EEPROM - SSOP-28                                                                                                                                                                                                               FTDI,             FT232RL-REEL     SSOP-28 FTDI             None                                     
